model,format,condition,scope,breakdown,group,n_instances,n_base_questions,EX_correct,EX_pct,EX_nonempty_pct,empty_pct,DMA_correct,DMA_pct,DMA_ci_lo,DMA_ci_hi
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,full,overall,all,799,200,500,62.58,38.3,24.28,2,0.25,0.0,0.75
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,full,language,english,200,200,121,60.5,38.5,22.0,0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,full,language,hindi,200,200,117,58.5,37.5,21.0,1,0.5,0.0,1.5
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,full,language,punjabi,200,200,124,62.0,38.0,24.0,1,0.5,0.0,1.5
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,full,language,telugu,199,199,138,69.35,39.2,30.15,0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,filtered,overall,all,643,161,398,61.9,39.81,22.08,2,0.31,0.0,0.93
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,filtered,language,english,161,161,98,60.87,40.99,19.88,0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,filtered,language,hindi,161,161,93,57.76,39.13,18.63,1,0.62,0.0,1.86
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,filtered,language,punjabi,161,161,100,62.11,39.75,22.36,1,0.62,0.0,1.86
meta-llama/Meta-Llama-3.1-8B-Instruct,t20i,schema_dk_v1,filtered,language,telugu,160,160,107,66.88,39.38,27.5,0,0.0,0.0,0.0
